A graphic novel is a type of comic book usually with a long storyline similar to those of novels .,A graphic novel is a book made up of comics content .,Entertainment,0.57,1
The band was formed in 1992 by guitarist Infernus after he made a `` deal with the Devil '' .,Gorgoroth was founded in 1992 by guitarist Infernus .,Entertainment,0.55,1
The men collected rain water when they could and sometimes drank only 4 imperial fluid ounces ( 110 mL ) per day and had only a small amount of biscuits and bakers chocolate for food .,"They had collected rain water when they could , at times drinking only per day and had only a small amount of biscuits and bakers chocolate for food .",Entertainment,0.22,0
It was also the world 's tallest and fastest roller coaster for a short time until Steel Dragon 2000 opened later that year .,It was briefly the tallest and fastest in the world until Steel Dragon 2000 opened later the same year .,Entertainment,0.31,0
Alperton is a London Underground station on the Uxbridge branch of the Piccadilly Line .,Alperton is a London Underground station on the Uxbridge branch of the Piccadilly line .,Entertainment,0.3,0
"After being dismissed from the Central School of Speech and Drama , he travelled to Scotland and got a job at the Citizens Theatre in Glasgow .","After being dismissed from the Central School of Speech and Drama ( University of London ) for insubordination , he travelled to Scotland and got a job at the Citizens Theatre in Glasgow .",Entertainment,0.67,1
The ship Challenger One sped up along its course in an attempt to allow journalists to take their photos of the ongoing raid .,The `` Challenger 1 '' accelerated its course in an attempt to allow journalists on board to broadcast their photos of the ongoing raid .,Entertainment,0.2,0
"Cynthia Kadohata was born on July 02 , 1956 in Chicago , Illinois .","Kadohata was born in Chicago , Illinois .",Entertainment,0.3,0
"The album 's first single , `` What I 've Done '' , was released on April 2 , 2007 .","The single itself was released on October 21 , 2011 .",Entertainment,0.53,1
"In a demonstration , Halley and five companions dived to 60 feet in the River Thames , and remained there for over an hour and a half .","In a demonstration , Halley and five companions dived to in the River Thames , and remained there for over an hour and a half .",Entertainment,0.57,0
"Along with A Little Bit Special and The Craig Machine , the albums have sold over 250,000 copies .","Along with `` A Little Bit Special '' and `` The Craig Machine '' , the album has sold over 250,000 copies .",Entertainment,0.47,1
Horta is one of the most important names in Art Nouveau architecture .,Horta is considered one of the most important names in Art Nouveau architecture .,Entertainment,0.25,0
Then he was married to Vera Shelton from 1991 until his death in 2000 .,He remained devoted to her until her death in 1988 .,Entertainment,0.41,0
"Killer whales imitate others , and seem to deliberately teach skills to their young .","Killer whales imitate others , and seem to deliberately teach skills to their kin .",Entertainment,0.28,0
The Musikverein is where the world famous Vienna Philharmonic Orchestra perform .,It is the home to the Vienna Philharmonic orchestra .,Entertainment,0.6,1
"`` Boulevard of Broken Dreams '' is a song by the American punk rock band Green Day , from their seventh studio album , `` American Idiot '' .",`` Boulevard of Broken Dreams '' remains one of Green Day 's signature songs .,Entertainment,0.52,1
"The Netherlands banned absinthe in 1909 , followed by the United States in 1912 and France in 1915 .","The Netherlands banned absinthe in 1909 , Switzerland in 1910 , the United States in 1912 , and France in 1914 .",Entertainment,0.28,0
"Thomas James `` Tom '' Kenny ( born July 13 , 1962 ) is an American actor , voice actor , comedian , singer , writer , and musician .","Thomas James `` Tom '' Kenny ( born July 13 , 1962 ) is an American actor and comedian .",Entertainment,0.75,1
"When visiting Jenolan Caves , tourists can stay at the heritage-listed Jenolan Caves House hotel , designed in 1897 by government architect , Walter Liberty Vernon , as a resort or retreat for the wealthy .","When visiting Jenolan Caves , tourists can stay at the heritage-listed Jenolan Caves House , designed in 1897 by government architect , Walter Liberty Vernon , as a resort or retreat for the wealthy .",Entertainment,0.38,0
Megan Mullally revealed that she was originally doing a voice in the film .,Megan Mullally was originally going to provide a voice in the film .,Entertainment,0.47,1
"She married for the third time on May 27 , 1984 , to Hal Holbrook ( 14 years her senior ) , who is most noted for his appearances as Mark Twain .","She was married for the third time on May 27 , 1984 , to Hal Holbrook ( 14 years her senior ) , who is most noted for his appearances as Mark Twain .",Entertainment,0.38,1
"Lennon , McCartney , Starr , and Evans shared three different pianos , with Martin on the Harmonium , and all played an E-major chord simultaneously .","Lennon , McCartney , Starr , and Evans shared three different pianos , with Martin on the harmonium , and all played an E-major chord simultaneously .",Entertainment,0.55,1
"The Doughboy responds by rubbing his stomach and giggling ( `` Hoo-Hoo '' ! , or earlier on , a slight giggle `` hee hee '' ) .","The Doughboy responds when his stomach is poked by giggling ( `` Hoo-Hoo '' ! , or earlier on , a slight giggle `` tee hee '' ) .",Entertainment,0.73,1
"Altered states of consciousness can be associated with artistic creativity , or different focus levels .",Altered states of consciousness can also be associated with artistic creativity or different focus levels .,Entertainment,0.59,1
William John Paul `` Liam '' Gallagher ( born 21 September 1972 ) is an English musician and songwriter best known as a singer in the rock band Oasis .,"William John Paul `` Liam '' Gallagher ( born 21 September 1972 ) is an English musician , singer , and songwriter .",Entertainment,0.49,1
It is found in the region Rhône-Alpes in the Ain department in the east of France .,Sulignat is a commune in the Ain department in eastern France .,Entertainment,0.22,0
The game required players to press buttons corresponding to the order they appeared on-screen ; this basic mechanic would form the core of future rhythm games .,"It requires players to press buttons in the order that they appear on the screen , a basic mechanic that formed the core of future rhythm games .",Entertainment,0.33,1
After the session was over Jeff Hanneman talked with him and the two began playing Iron Maiden and Judas Priest songs with the session drummer .,After the session was over Jeff Hanneman approached him and the two began playing Iron Maiden and Judas Priest songs with the session 's drummer .,Entertainment,0.43,1
"The Arrernte people are the Aboriginal people who have lived around Alice Springs for more than 50,000 years .",The Aboriginal name for Alice Springs is `` Mparntwe '' .,Entertainment,0.34,0
"The Marvelous Misadventures of Flapjack is an American animated television series made for Cartoon Network that started on June 5 , 2008 .","The Marvelous Misadventures of Flapjack is an American animated television series created by Thurop Van Orman for Cartoon Network that premiered in North America on June 5 , 2008 .",Entertainment,0.84,1
"He filmed and has an incredible archive about well known Armenians , including the only film footage on Hovhannes Shiraz , incredible footage on Charles Aznavour visiting Armenia after the 1988 earthquake , the funeral of William Saroyan .","He filmed and has an archive about well known Armenians , including the only film footage on Hovhannes Shiraz , footage on Charles Aznavour visiting Armenia after the 1988 earthquake , the funeral of William Saroyan ( 1908–1981 ) .",Entertainment,0.38,1
Prague Manifesto ( ) is a manifesto in which are seven principles for Esperanto movement .,The Prague Manifesto ( ) is a set of seven widely shared principles of the Esperanto movement .,Entertainment,0.23,0
"A trust is created by the owner , also called a `` settlor '' , `` trustor '' or `` grantor '' who transfers property to a trustee .","A trust is created by a settlor , who transfers property to a trustee .",Entertainment,0.26,0
"With his rank obtained , the Prince , using the name of William Wales , followed his younger brother into the Blues and Royals as a troop commander in an armoured reconnaissance unit , after which he spent four months in training for the post at Bovington Camp , Dorset .","With his rank obtained , as `` Lieutenant Wales '' ( a name based on his father 's title , Prince of Wales ) , he followed his younger brother into the Blues and Royals as a troop commander in an armoured reconnaissance unit , after which he spent four months in training for the post at Bovington Camp , Dorset .",Entertainment,0.23,0
"Bowen died on May 4 , 2013 in his home in Donaldson , Indiana at the age of 95 .","Bowen died May 4 , 2013 , at a nursing home in Donaldson , Indiana .",Entertainment,0.31,0
"Larry Hankin ( born August 31 , 1940 ) is an American movie , television , radio , stage , voice actor , movie director and movie producer who is known for his role as Mr. Heckles in `` Friends '' .","Larry Hankin ( born August 31 , 1940 ) , is an American actor , performer , director and producer .",Entertainment,0.62,1
Section 52 deals with powers that belong only to the Commonwealth parliament .,Section 52 deals with powers `` exclusively '' vested in the Commonwealth parliament .,Entertainment,0.26,0
"When Zubin Mehta left to go to the New York Philharmonic in 1978 , Carlo Maria Giulini took over as Music Director .","When Zubin Mehta left for the New York Philharmonic in 1978 , Fleischmann convinced Carlo Maria Giulini to take over as Music Director .",Entertainment,0.31,1
"Guerrero died on August 17 , 2015 from pneumonia at the age of 87 .",Guerrero died on 17 August 2015 at the age of 87 .,Entertainment,0.35,0
"There are a lot of events that occur in this feast like the Miss Mandaue , Mr. Mandaue , Inter-Barangay Sports Competition , Queen Prince and Prices Coronation or QPP , Rodeos , Mantawi Festival , Bailes , Fairs and many more .","There are many events that occur in this feast like the inter-barangay sports competition , Queen Prince and Princess coronation , rodeos , street festival , bailes , fairs and many more .",Entertainment,0.54,1
The band toured for the album extensively .,The band toured the album extensively .,Entertainment,0.4,1
This category includes articles about the Golden Globe Awards .,This category comprises articles about the Golden Globe Award .,Entertainment,0.59,1
She has gained a reputation and has her own place in the history of Oriya fiction .,She has gained a reputation and has her own place in the history of Odia fiction .,Entertainment,0.44,1
He was known for restoring stability in the Maltese church following his predecessor Mikiel Gonzi 's dispute with the Malta Labour Party .,He is credited with restoring stability in the Maltese church following his predecessor Mikiel Gonzi 's dispute with the Malta Labour Party .,Entertainment,0.27,0
"For many years , the neighborhood was an industrial district The area was formerly home to a large commercial and adult-entertainment district , which has now been displaced .","The area formerly contained a commercial and adult-entertainment district , which has now been displaced .",Entertainment,0.76,1
Taito later repacked Bust-A-Move 2 with an optional alternative set of levels and some new attract mode animations ( including holiday-themed ones ) as `` Bust-A-Move 2X '' ( Also known as Puzzle Bobble 2X ) .,Taito later repacked Bust-A-Move 2 with an optional alternative set of levels and some new attract mode animations ( including holiday-themed ones ) as `` Bust-A-Move 2X '' ( also known as `` Puzzle Bobble 2X '' ) .,Entertainment,0.53,1
"He is known for his roles as Danny in the television movie , `` Escape to Witch Mountain '' , the voice of the toy-destroyer Sid Phillips in `` Toy Story '' , Andy Brinker in the Disney Channel original movie `` Brink !","He is known for his roles in `` Escape to Witch Mountain '' , `` Toy Story '' , `` Brink !",Entertainment,0.75,1
"He has also conducted many of the world 's greatest orchestras , including the Berlin Philharmonic , the Royal Concertgebouw , the Boston Symphony Orchestra , the Chicago Symphony Orchestra , the Cleveland Orchestra , and the London Symphony Orchestra .","He has also conducted many of the world 's greatest orchestras , including the Berlin Philharmonic , the Royal Concertgebouw Orchestra , the Boston Symphony Orchestra , the Chicago Symphony Orchestra , the Cleveland Orchestra , the Israel Philharmonic Orchestra , and the London Symphony Orchestra .",Entertainment,0.33,1
"Quijano was born Norman Noel Quijano Gonzalez on November 2 , 1946 in Santa Ana , El Salvador .","Quijano was born on November 2 , 1946 in Santa Ana , El Salvador .",Entertainment,0.33,0
"On June 30 , 2014 , before Monday Night Raw aired , Dashwood was arrested in Hartford , Connecticut for sixth-degree larceny .","On 30 June 2014 , Dashwood was arrested in Hartford , Connecticut .",Entertainment,0.25,0
"The name TMZ stands for thirty-mile zone after the historic `` studio zone '' at the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles , California .","The name `` TMZ '' stands for `` thirty-mile zone '' , the historic `` studio zone '' within a 30-mile ( 50 km ) radius centered at the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles , California .",Entertainment,0.29,0
De Havilland was born in Tokyo to British parents .,De Havilland was married twice .,Entertainment,0.39,0
"Rousta died from cancer on her 69th birthday ( 26 September 2015 ) in Los Angeles , California , United States .","She died of cancer on 26 September 2015 in a hospital in Los Angeles , California , United States .",Entertainment,0.32,0
change user rights of users on other wikis,edit user rights of users on other projects .,Entertainment,0.25,0
Wright 's paintings of royalty and aristocracy are in the collections of many great galleries today .,Wright 's paintings of royalty and aristocracy are included amongst the collections of many leading galleries today .,Entertainment,0.5,1
"It is based in Washington , D.C..","EarthEcho is based in Washington , D.C..",Entertainment,0.4,0
"George Reeves ( b. January 5 , 1914 in Woolstock , Iowa - June 16 , 1959 in Beverly Hills , Los Angeles , California ) , was an American actor .","George Reeves ( January 5 , 1914 – June 16 , 1959 ) was an American actor .",Entertainment,0.42,1
"Michele Ann Marie Fabares ( born January 19 , 1944 in Santa Monica , California ) , better known through the stage name Shelley Fabares , is an American movie and television actress .","Michele Ann Marie Fabares was born in Santa Monica , California .",Entertainment,0.38,0
Its patron goddess was the cobra goddess Wadjet .,Its patron Goddess was the cobra goddess Wadjet .,Entertainment,0.46,0
`` U.S. viewers in millions '' refers to the number of Americans in millions who watched the episodes live or recorded them and watched them within seven days of broadcast .,`` U.S. viewers ( million ) '' refers to the number of Americans in millions who watched the episode as it was aired .,Entertainment,0.44,1
Russell was married to British movie director Nicolas Roeg ( born 1928 ) from 1982 until they divorced .,"She married English film director Nicolas Roeg ( born 1928 ) , in 1982 .",Entertainment,0.5,1
"He has appeared in more than 20 movies , and was nominated for an Academy Award for his role in `` As Good as It Gets '' .",He was nominated for an Academy Award for his role in `` As Good as It Gets '' .,Entertainment,0.47,1
In 2008 El fad presented a new one -man show `` Docteur Escargot ( Doctor Snail ) '' .,On-stage in 2005 El Fad presented a new one-man show `` Docteur Escargot '' ( `` Doctor Snail '' ) .,Entertainment,0.71,1
"Most nasals are voiced , and , in fact , the nasal sounds and are among the most common sounds used in languages of the world .",The voiced retroflex nasal is is a common sound in Languages of India .,Entertainment,0.26,0
"`` Success '' ( 1977 ) told the story of two foster-brothers , Gregory Riding and Terry Service , and their good and bad luck .","`` Success '' ( 1977 ) told the story of two foster-brothers , Gregory Riding and Terry Service , and their rising and falling fortunes .",Entertainment,0.46,1
Credits for `` Versus '' from Allmusic .,Credits for `` Versus '' adapted from Allmusic .,Entertainment,0.39,1
"Queen are a British rock band that formed in London in 1970 , and are one of the most commercially successful musical acts of all time .",Queen are a British rock band that formed in London in 1970 .,Entertainment,0.47,1
"In August 2007 , Hager went back to Florida Championship Wrestling , where he began a rivalry with TJ Wilson .","In August 2007 , Hager was reassigned to Florida Championship Wrestling ( FCW ) , where he began a feud with TJ Wilson .",Entertainment,0.43,1
Following Greek usage it is called `` Platane '' or related names in Europe .,Following Greek usage it is called `` platane '' or related names in continental Europe .,Entertainment,0.29,0
`` Santeria '' is the second single off American ska punk band Sublime 's third and final studio album `` Sublime '' .,`` Santeria '' is a song by American rock band Sublime on their 1996 album `` Sublime '' .,Entertainment,0.41,1
"It is a live-action movie but its title character , a dragon named Elliott , is animated .","It is a live-action film but one of its title characters , a dragon named Elliott , is animated .",Entertainment,0.62,1
"Bowerbirds are most known for their unique courtship behaviour , where males build a structure and decorate it with sticks and brightly coloured objects .","They are renowned for their unique courtship behaviour , where males build a structure and decorate it with sticks and brightly coloured objects in an attempt to attract a mate .",Entertainment,0.34,0
"He was known for his roles in `` Meet Me in St. Louis '' ( 1944 ) , `` The Postman Always Rings Twice '' ( 1946 ) , `` Little Women '' ( 1949 ) , `` On Moonlight Bay '' ( 1951 ) and `` By the Light of the Silvery Moon '' ( 1953 ) .","He is best remembered for playing father figures in such films as `` Meet Me in St. Louis '' ( 1944 ) with Judy Garland as one of his daughters , `` Little Women '' ( 1949 ) , `` On Moonlight Bay '' ( 1951 ) , and `` By the Light of the Silvery Moon '' ( 1953 ) .",Entertainment,0.61,1
"These are supported by some of the production crew , who appear in the show and generally have some involvement with many parts of the investigation as they are performing their normal crew role .","The core investigation team are supported by some of the production crew , who appear in the show and are generally involved with the investigation whilst performing their normal crew role .",Entertainment,0.41,1
Gujar Garhi is a village and Union Council of Mardan District in the Khyber Pakhtunkhwa province of Pakistan .,Gujar Garhi is a village and union council in Mardan District of Khyber Pakhtunkhwa .,Entertainment,0.26,0
"None of the pre-Roman inhabitants of Britain had any written language , so their history , culture and way of life are known only through archaeological finds .","Because no literature of pre-Roman Britain has survived , its history , culture and way of life are known mainly through archaeological finds .",Entertainment,0.24,0
Her first appearance was in `` All My Children '' in 1985 .,Her television debut was on `` All My Children '' in 1985 .,Entertainment,0.68,1
"In 2006 , they were changed back to their round shape in the United States and some other places .","In 2007 , they reverted to their original shape in the United States .",Entertainment,0.28,0
"After a several-year break , Dahlström again starred in the movie `` Fröken Sverige '' ( Miss Sweden ) gaining nice comments .","After a several-year break , Dahlström again starred in the film `` Fröken Sverige '' ( Miss Sweden ) , for which she received favorable reviews .",Entertainment,0.63,1
"North Atlantic Books has been releasing the chronologically assembled `` The Complete Short Stories of Theodore Sturgeon '' , edited by Paul Williams , since 1994 .","North Atlantic Books has released the chronologically assembled `` The Complete Short Stories of Theodore Sturgeon '' , edited by Paul Williams , since 1994 .",Entertainment,0.35,1
"Later versions of the prop had more efficient wheels ( from shopping carts , according to a Blue Peter episode ) and were simply moved by the seated operators ' feet , but they remained so heavy that when going up ramps they often had to be pushed by stagehands out of where the camera could not see .","Later versions of the prop had more efficient wheels and were once again simply propelled by the seated operators ' feet , but they remained so heavy that when going up ramps they often had to be pushed by stagehands out of camera shot .",Entertainment,0.38,1
"In the above example , `` men , '' `` mortal , '' and `` Greeks . ''","In the above example , `` humans '' , `` mortal '' , and `` Greeks '' .",Entertainment,0.37,1
He had been in poor health since suffering two strokes in April 2006 .,Glazer had been in poor health since suffering two strokes in April 2006 .,Entertainment,0.3,0
He won both a Golden Globe and an Academy Award for Best Actor for his role in `` Philadelphia '' .,Hanks won the 1993 Academy Award for Best Actor for his role in `` Philadelphia '' .,Entertainment,0.5,1
"Aside from politics , Vasile used to write poetry under the pen name `` Radu Mischiu '' .",Vasile published poetry under the pen name `` Radu Mischiu '' .,Entertainment,0.27,1
"Some textile dyes are `` loose '' ( red being the main problem ) , and will release dye during solvent immersion .","Some textile dyes are `` loose '' ( red being the main culprit ) , and will shed dye during solvent immersion .",Entertainment,0.28,0
"A La Costa Sud ( La Musique De La Côte D'Azur ) is a compilation album imagined and produced by Italian musician and producer Pino Presti , published on May 2009 by Edizioni Musicali Curci .","A La Costa Sud ( La Musique De La Côte D'Azur ) is a compilation album created and produced by Italian musician and producer Pino Presti , realised in 2009 on Edizioni Musicali Curci .",Entertainment,0.39,1
"Federico Luppi ( ; born February 23 , 1936 , in Ramallo , Buenos Aires Province ) is an Argentine movie , television , radio and theatre actor .","Federico Luppi ( ; born February 23 , 1936 in Ramallo , Buenos Aires Province ) is an Argentine film , TV , radio and theatre actor .",Entertainment,0.75,1
"His lasting contribution as a children 's writer , Helsing was a finalist in 2010 for the biennial , international Hans Christian Andersen Award , the highest recognition available to creators of children 's books .","For his lasting contribution as a children 's writer , Helsing was a finalist in 2010 for the biennial , international Hans Christian Andersen Award , the highest recognition available to creators of children 's books .",Entertainment,0.21,1
"Near the end of 2007 , `` Glory to the Brave '' was released in Japan and the United States .","Towards the end of 1997 , `` Glory to the Brave '' was released in Japan and the United States .",Entertainment,0.59,1
`` U Do n't Have to Call '' is a song by American singer Usher .,`` U Do n't Have to Call '' is a song by American entertainer Usher .,Entertainment,0.96,1
"In 2005 , IEEE had close to 900 active standards , with 500 standards under development .","In 2013 , IEEE had over 900 active standards , with over 500 standards under development .",Entertainment,0.25,0
It is found in the region Rhône-Alpes in the Ain department in the east of France .,Saint-Rémy is a commune in the Ain department in eastern France .,Entertainment,0.23,0
Its key signature has no flats or sharps ( see below : Scales and keys ) .,Its key signature has no flats and no sharps .,Entertainment,0.22,0
Bede told the story of Cædmon who was an illiterate cow-herder who was suddenly able to recite a Christian song of creation in Old English verse .,"According to Bede , Cædmon was an illiterate cow-herder who miraculously was able to recite a Christian song of creation in Old English verse .",Entertainment,0.35,0
"The luffa `` sponge '' , also spelled `` loofah '' , which is commonly sold for use in the kitchen or the bath , is not derived from an animal but from the fibrous `` skeleton '' of a gourd ( Cucurbitaceae ) .","The luffa `` sponge '' , also spelled `` loofah '' , which is commonly sold for use in the kitchen or the shower , is not derived from an animal but mainly from the fibrous `` skeleton '' of the sponge gourd ( `` Luffa aegyptiaca '' , Cucurbitaceae ) .",Entertainment,0.22,0
It won the 2005 Academy Award for Best Make Up and various other awards and is the first movie in the series of movies based on the books .,It won the 2005 Academy Award for Best Makeup and various other awards .,Entertainment,0.56,1
"Ratatouille is an old French Provençal stewed vegetable dish , coming from Nice .","Ratatouille ( ; ) is a traditional French Provençal stewed vegetable dish , originating in Nice .",Entertainment,0.29,0
"The third , final series was shown from 2 April to 21 May 2010 .",The third series concluded on 21 May 2010 .,Entertainment,0.58,1
"Males are smaller than females ; males can grow up to the length of 22-40 cm , and females can grow up to the length of 28-72 cm .","Males are in total length , the females .",Entertainment,0.3,0
It was in the 1688 Romanian Bible where it was called `` Iosip '' but is not printed in the Orthodox Bible today .,It is no longer printed in the Romanian Bibles today .,Entertainment,0.27,0
"Paintings include a 7th-century painting of `` Christ on the Cross '' ( `` La Croce '' ) , 14th century works by Pietro Lorenzetti ( `` Madonna with Child '' ) and Bartolo di Fredi ( `` Madonna della Misericordia '' ) .","Paintings include a 12th-century painted crucifix from the Abbey of San Pietro in Vollore , 14th century works by Pietro Lorenzetti ( `` Madonna with Child '' ) and Bartolo di Fredi ( `` Madonna della Misericordia '' ) .",Entertainment,0.23,1
John Smith at Jamestown in Virginia Colony .,"John Smith at Jamestown , Virginia Colony .",Entertainment,0.25,0
"`` Of Mice and Men '' was made into a movie several times , the first in 1939 , only two years after the publication of the novel .",`` Of Mice and Men '' was adapted for the screen several times .,Entertainment,0.74,1
"Shrek forces Fiona to travel with him and Donkey , with Shrek and Fiona finding they have more in common with each other along the way , and falling in love .","Along the way , Shrek and Fiona find they have more in common and fall in love .",Entertainment,0.85,1
"However like Indian English , Pakistani English has preserved many phrases that are now considered old in Britain .","However like Indian English , Pakistani English has preserved many phrases that are now considered antiquated in Britain .",Entertainment,0.23,0
He said that he wrote for the emotion of the moment .,He stated that he wrote for the emotion of the moment .,Entertainment,0.54,1
The music video was also fourth on MTV2 and XXL 's list of the 25 Greatest West Coast Videos .,"In April 2005 , the video was fourth on MTV2 and XXL 's list of the 25 Greatest West Coast Videos .",Entertainment,0.52,1
"The seal , which shows a mounted cowboy surrounded by a 64-pointed star burst , was designed by Mrs. Gene Brown Pennington .","The seal , depicting a mounted cowboy surrounded by a 64-pointed starburst , was designed by Mrs. Gene Brown Pennington .",Entertainment,0.34,0
Mercury had a younger sister named Kashmira .,"He had a younger sister , Kashmira .",Entertainment,0.35,0
Tatyana wonders why he is now in love with her .,Tatyana confesses that she is in love .,Entertainment,0.5,1
Madison was the oldest of twelve children .,He grew up as the oldest of twelve children .,Entertainment,0.25,0
"Josephine rented a home in San Francisco , where Hammett would visit on weekends .","Dolan rented a home in San Francisco , California , where Hammett would visit on weekends .",Entertainment,0.36,0
"Anthony Oliver Scott ( born July 10 , 1966 ) is an American journalist and movie critic .","Anthony Oliver Scott ( born July 10 , 1966 ) is an American journalist and film critic .",Entertainment,0.49,1
"Gottfried Silbermann ( born Kleinbobritzsch , 14 January 1683 ; died Dresden , 4 August 1753 ) was a very important German builder of keyboard instruments .","Gottfried Silbermann ( January 14 , 1683 – August 4 , 1753 ) was a German builder of keyboard instruments .",Entertainment,0.22,0
She has also written three mini-books :,She has also written three mini books :,Entertainment,0.38,1
"During the Ottoman rule , the majority of Albanians were of Muslim affiliation ( Sunni and Bektashi ) .","During the Ottoman rule of Albania , the majority of Albanians converted to the Muslim affiliation ( Sunni and Bektashi ) .",Entertainment,0.2,0
"Peleshyan is also the author of many books , such as his 1988 book `` Moyo kino '' ( `` My Cinema '' ) .","Peleshyan is also the author of a range of theoretical works , such as his 1988 book , `` Moyo kino '' ( `` My Cinema '' ) .",Entertainment,0.39,1
Griffiths was married to Heather Gibson from 1980 until his death in 2013 .,Griffiths met Heather Gibson in 1973 and they married in 1980 .,Entertainment,0.4,1
"The celebrations began on the 25th when Hugo was presented with a Sèvres vase , the traditional gift for sovereigns .","The celebrations began on 25 June 1881 when Hugo was presented with a vase , the traditional gift for sovereigns .",Entertainment,0.46,1
"Robert Studley Forrest Hughes , AO ( 28 July 19386 August 2012 ) was an Australian-born art critic , writer and maker of television documentaries .","Robert Studley Forrest Hughes AO ( 28 July 19386 August 2012 ) was an Australian-born art critic , writer , and producer of television documentaries .",Entertainment,0.53,1
"Although there are various interpretations as to what exactly a chakra is , the following features are common in all systems :",The following features are common :,Entertainment,0.3,0
"They were once known as Goonie birds or Gooney birds , especially the albatrosses in the North Pacific .","They were once commonly known as goonie birds or gooney birds , particularly those of the North Pacific .",Entertainment,0.41,0
