It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"For his volume , `` The South Africa fossil ape-men , the Australopithecinae '' , in which he proposed the Australopithecinae subfamily , Broom was awarded the Daniel Giraud Elliot Medal from the National Academy of Sciences in 1946 .","For his volume , `` The South Africa Fossil Ape-Men , The Australopithecinae '' , in which he proposed the Australopithecinae subfamily , Broom was awarded the Daniel Giraud Elliot Medal from the National Academy of Sciences in 1946 ."
"The casting of the first mirror was completed on November 3 , 2005 .",Polishing of the first mirror was completed in November 2012 .
"It is the place of the Moscow Kremlin , one of the World Heritage Sites in the city , which is the home of the President of Russia .",Moscow is one of the largest science centers in Russia .
"Eighteen countries participated , including France and Switzerland who participated for the first time .","18 countries participated , France and Switzerland participated for the first time ."
"Liquid water can not exist on the surface of Mars due to its low atmospheric pressure ( there 's not enough air to hold it in ) , except at the lowest elevations for short periods .","Liquid water can not exist on the surface of Mars due to low atmospheric pressure , which is about 100 times thinner than Earth 's , except at the lowest elevations for short periods ."
"Tasmannia is a genus of woody , evergreen flowering plants native to Australia , New Guinea , Celebes , Borneo and the Philippines .","Tasmannia is a genus of woody , evergreen flowering plants of the family Winteraceae ."
"She produced the first genetic map for maize , and demonstrated the role of the telomere and centromere .","She produced the first genetic map for maize , linking regions of the chromosome to physical traits ."
She held a lecturership in palaeobotany at the University of Manchester from 1904 to 1907 ; she was first female academic of that university .,She held the post of Lecturer in Palaeobotany at the University of Manchester from 1904 to 1910 ; in this capacity she became the first female academic of that university .
He started building his own reflecting telescopes and would spend up to 16 hours a day grinding and polishing the metal primary mirrors .,He started building his own reflecting telescopes and would spend up to 16 hours a day grinding and polishing the speculum metal primary mirrors .
"In recent years , philosophers of science have tried to integrate the various approaches to testing hypotheses , and the scientific method in general , to form a more complete system .","In recent years , philosophers of science have tried to integrate the various approaches to evaluating hypotheses , and the scientific method in general , to form a more complete system that integrates the individual concerns of each approach ."
It was only later that researchers such as Thomas Hunt Morgan showed that Boveri was correct .,It was only later that researchers such as Thomas Hunt Morgan in 1915 demonstrated that Boveri was correct .
The visible-wavelength ( 0.435-0.925 micron ) spectra data was gathered between August 1993 and March 1999 .,The visible-wavelength ( 0.435-0.925 micrometre ) spectra data was gathered between August 1993 and March 1999 .
The Polish Academy of Sciences funciona as docta society which acts through a chosen corporation of distinguished scholars and of institutions of research .,The Polish Academy of Sciences functions as a learned society acting through an elected corporation of leading scholars and research institutions .
"Cladistically speaking , nautiloids are a paraphyletic group united by shared primitive ( basal ) features not found in derived cephalopods .","Cladistically speaking , nautiloids are a paraphyletic assemblage united by shared primitive ( plesiomorphic ) features not found in derived cephalopods ."
Macrolepidoptera is a group in the insect order Lepidoptera .,Macrolepidoptera is a group within the insect order Lepidoptera .
There are different theories how water could enter the tank .,Theories differ as to how the water entered the tank .
Carboxypeptidase A was the first protein structure from Lipscomb 's group .,Carboxypeptidase A ( left ) was the first protein structure from Lipscomb 's group .
"When collecting data in the full scan mode , a target range of mass fragments is selected and put into the instrument 's method .","When collecting data in the full scan mode , a target range of mass fragments is determined and put into the instrument 's method ."
The German professor Wilhelm Fabry believed that breast cancer was caused by a clot of milk in the part of a woman 's breast that produces milk .,The German professor Wilhelm Fabry believed that breast cancer was caused by a milk clot in a mammary duct .
"Further research showed male fireflies from several different genera are attracted to these mimics , and are subsequently captured and eaten .","Further research showed male fireflies from several different genera are attracted to these `` femmes fatales '' , and are subsequently captured and eaten ."
"At their peak in the Palaeozoic era the brachiopods were among the most abundant filter-feeders and reef-builders , and occupied other ecological niches , including swimming in the jet-propulsion style of scallops .","At their peak in the Paleozoic era , the brachiopods were among the most abundant filter-feeders and reef-builders , and occupied other ecological niches , including swimming in the jet-propulsion style of scallops ."
The episode was well liked by people and it was the second highest rated show on the Fox network the week it first started .,The episode was well received by critics and it was the second highest rated show on the Fox network the week it aired .
"If the immunoblot is negative , this shows that the immunoassay ( the first test ) was wrong , and the person does not have Hepatitis C. It takes six to eight weeks after a person gets infected before the immunoassay will test positive .",It takes about 6–8 weeks following infection before the immunoassay will test positive .
This is because of the bending of light rays as they move between the air and the water .,This is due to the bending of light rays as they move from the water to the air .
"In February and March 2007 , the New Horizons spacecraft to Pluto made a number of pictures of Elara , culminating in photos from a distance of five million miles .","In February and March 2007 , the New Horizons spacecraft to Pluto captured Elara in several LORRI images from a distance of five million miles ."
"It was compatible with its main competitor , the earlier MITS Altair 8800 , by which it was inspired .","It was a clone of its main competitor , the earlier MITS Altair 8800 ."
"In 1937 Dobzhansky published one of the major works of the modern evolutionary synthesis , entitled `` Genetics and the Origin of Species '' .","In 1970 , he published `` Genetics of the evolutionary process '' ."
He received the 1992 Nobel Prize in Chemistry for his theory of electron transfer reactions in chemical systems .,He won the Wolf Prize in Chemistry in 1984 .
While at Caltech Delbrück became acquainted with bacteria and their viruses ( bacteriophage or 'phage ' ) .,"While at Caltech , Delbrück researched bacteria and their viruses ( bacteriophages or `` phages '' ) ."
"The southern beeches Nothofagus previously thought closely related to beeches , are now treated as members of a separate family , Nothofagaceae .","The southern beeches ( `` Nothofagus '' genus ) previously thought closely related to beeches , are now treated as members of a separate family , Nothofagaceae ."
Some parts of the river’s course must have been already in existence around this time .,"Therefore , some parts of the river 's course must have already existed around this time ."
"Along its northeast margin , the African Plate is bounded by the Red Sea rift where the Arabian Plate is moving away from the African Plate .","Along its northeast margin , the African Plate is bounded by the Red Sea Rift where the Arabian Plate is moving away from the African Plate ."
"There are around 1200 species of hawk moth , classified into around 200 genera .","Around 1,450 species of hawk moths are classified into around 200 genera ."
Klamath County ( ) is a county which is in the U.S. state of Oregon .,Klamath County ( ) is a county located in the U.S. state of Oregon .
"In the first four editions of `` On the Origin of Species '' , Darwin used only the phrase `` natural selection '' .","In the first four editions of `` On the Origin of Species '' , Darwin had used the phrase `` natural selection '' ."
He is currently the Frederick P. Rose Director of the Hayden Planetarium at the Rose Center for Earth and Space and a research associate in the department of astrophysics at the American Museum of Natural History .,"Since 1996 , he has been the Frederick P. Rose Director of the Hayden Planetarium at the Rose Center for Earth and Space in New York City ."
"Its embers flared up again briefly in 2000 when one of the leading figures , Ernst Nolte , was awarded a literary prize .","It flared up again briefly in 2000 when one of its leading figures , Ernst Nolte , was awarded the Konrad Adenauer Prize for science ."
Hot Sleep : The Worthing Chronicle ( 1979 ) is a science fiction book that was written by Orson Scott Card .,Hot Sleep : The Worthing Chronicle ( 1979 ) is a science fiction novel by Orson Scott Card set in the Worthing series .
The Green River fossils show a transition between the moist early Eocene climate and the slightly drier mid-Eocene .,This span of time includes the transition between the moist early Eocene climate and the slightly drier mid-Eocene .
"In 1817 , Brewster chose the well-known lens developer Philip Carpenter to be the only manufacturer of the kaleidoscope .",Brewster chose renowned achromatic lens developer Philip Carpenter as one of many manufacturers of the kaleidoscope in 1816 .
"It is located about an hour west of Madison , Wisconsin .","It located about an hour west of Madison , Wisconsin ."
A büchner funnel is a piece of laboratory equipment which is used to filter or separate a liquid from a solid .,A Büchner funnel is a piece of laboratory equipment used in filtration .
A total of 3.9 million cubic yards ( 3.0 million m³ ) of material was carried 17 miles ( 27 km ) south into the Columbia River by the lahars .,A total of of material was transported south into the Columbia River by the mudflows .
"Transpiration rate of plants can be measured by a number of techniques , including potometers , lysimeters , porometers , photosynthesis systems and heat balance sap flow gauges .","Transpiration rates of plants can be measured by a number of techniques , including potometers , lysimeters , porometers , photosynthesis systems and thermometric sap flow sensors ."
"Additionally , analysis of the full photograph revealed the object was quite small , only about long .","An analysis of the full photograph indicated that the object was small , about long ."
The increased spininess possibly resulted from the need for defence against predators large enough to swallow them or tear them apart .,"The increased spininess 1 billion years ago possibly resulted from the need for defence against predators , especially predators large enough to swallow them or tear them apart ."
"Richard Gordon Scott ( November 7 , 1928 – September 22 , 2015 ) was an American nuclear engineer and a member of the Quorum of the Twelve Apostles of The Church of Jesus Christ of Latter-day Saints ( LDS Church ) .","Richard Gordon Scott ( November 7 , 1928 – September 22 , 2015 ) was an American scientist and religious leader who served as a member of the Quorum of the Twelve Apostles of The Church of Jesus Christ of Latter-day Saints ( LDS Church ) ."
Bear often answers major questions in contemporary science and culture with fictional solutions .,Bear often addresses major questions in contemporary science and culture with fictional solutions .
"He was one of six living northern white rhinoceroses in the world , one of two living males in the world , and the only male on the American continents .",The northern white rhinoceros is one of the two subspecies of the white rhinoceros .
"Sources of detectable gravitational waves could possibly include binary star systems composed of white dwarfs , neutron stars , or black holes .","Potential sources of detectable gravitational waves include binary star systems composed of white dwarfs , neutron stars , and black holes ."
"Neptune was associated with fresh water as well as the sea , Oceanus was the god of the world-ocean .",Neptune was likely associated with fresh water springs before the sea .
This range of interests leads to a wide variety of research styles and interests in the field .,This broad base of interests contributes to many research styles and interests within the field .
"With his finances improved , he was able to publish a massive work on the `` Batrachians of North America '' , which was the most detailed work on the continent 's frogs and amphibians ever done , and the 1,115-page `` The Crocodilians , Lizards and Snakes of North America '' .","With his finances improved , he was able to publish a massive work on the `` Batrachians of North America '' , which was the most detailed analysis and organization of the continent 's frogs and amphibians ever mastered , and the 1,115-page `` The Crocodilians Lizards and Snakes of North America '' ."
With the development of plate tectonics in the 1960s geologists concluded the Atlantic Ocean must have had a precursor before the time of Pangaea .,"With the development of plate tectonics in the 1960s , geologists such as Arthur Holmes and John Tuzo Wilson concluded that the Atlantic Ocean must have had a precursor before the time of Pangaea ."
"By analysing the species ' genes , scientists have shown that it shared the same ancestor as the Eurasian cave lion ( `` Panthera leo spelaea '' or `` P. spelaea '' ) .",It has been shown by genetic analysis to be a sister lineage to the Eurasian cave lion ( `` Panthera leo spelaea '' or `` P. spelaea '' ) .
"Sea otters have re-entered British Columbia , dramatically improving coastal ecosystem health by eating sea urchins .","Sea otters have re-entered British Columbia , dramatically improving coastal ecosystem health ."
In his application for membership to the Nazi-party NSDAP he wrote in 1938 : `` I 'm able to say that my whole scientific work is devoted to the ideas of the National Socialists . '',"In his application for party membership he wrote , `` I 'm able to say that my whole scientific work is devoted to the ideas of the National Socialists . ''"
"The building was designed by architect Edward Durell Stone , built by Philadelphia contractor John McShain , and is administered by a bureau of the Smithsonian Institution .","Designed by architect Edward Durell Stone , it was built by Philadelphia contractor John McShain and is administered by a bureau of the Smithsonian Institution ."
The QuikSCAT ( Quick Scatterometer ) is an earth-observing satellite that provides wind speed and direction information over oceans to NOAA .,The NASA QuikSCAT ( Quick Scatterometer ) is an Earth observation satellite carrying the SeaWinds scatterometer .
"Romulus , the first moon , was found on February 18 , 2001 from the Keck II telescope by Michael E. Brown and Jean-Luc Margot .","Romulus , the first moon , was discovered on February 18 , 2001 from the Keck II telescope by Michael E. Brown and Jean-Luc Margot ."
"Hermann Carl Vogel ( born April 3 1841 , died August 13 1907 ) was a German astronomer .","Hermann Carl Vogel ( April 3 , 1841 – August 13 , 1907 ) was a German astrophysicist ."
"She was born on 31 August 1870 in Chiaravalle , Italy .","Montessori was born on August 31 , 1870 in Chiaravalle , Italy ."
He was director at the Fritz Haber Institute of the MPG from 1986 and was also a professor at the Humboldt University of Berlin from 1996 .,He was director at the Fritz Haber Institute of the MPG from 1986 till his retirement in 2004 .
"Umbriel is a moon of Uranus found on October 24 , 1851 by William Lassell .","Umbriel is a moon of Uranus discovered on October 24 , 1851 , by William Lassell ."
"The first binary pulsar , PSR B1913+16 or the `` Hulse-Taylor binary pulsar '' was discovered in 1974 at Arecibo by Joseph Taylor and Russell Hulse , for which they won the 1993 Nobel Prize in Physics .","The first binary pulsar , PSR B1913+16 or the `` Hulse-Taylor binary pulsar '' was discovered in 1974 at Arecibo by Joseph Hooton Taylor , Jr. and Russell Hulse , for which they won the 1993 Nobel Prize in Physics ."
"The blue blanquillo ( Malacanthus latovittatus , also known as the banded blanquillo , striped blanquillo , false whiting , sand tilefish or eye of the sea ) is a species of tilefish .","The blue blanquillo , Malacanthus latovittatus ( also known as the banded blanquillo , striped blanquillo , false whiting , sand tilefish or eye of the sea ) , is a species of tilefish from the family Malacanthidae ."
"However , the extensive leg feathers indicate that long legs may be an vestigial trait , because running animals tend to have reduced , not increased , hair or feathers on their legs .",Long leg feathers on lower legs may have slowed the running speed of `` Anchiornis '' .
"Lactarius torminosus , commonly known as the woolly milkcap or the bearded milkcap , is a mushroom in the genus `` Lactarius '' .","Lactarius torminosus , commonly known as the woolly milkcap or the bearded milkcap , is a large agaric fungus ."
They are about 10 micrometers across and are made of six cells .,They have a diameter of about 10 micrometers and are made of six cells .
Schilde is a municipality in the Belgian province of Antwerp .,Schilde ( ) is a municipality located in the Belgian province of Antwerp .
It was estimated to be at in 2005 .,It was situated at in 2005 .
"His final expedition to the West took place in 1894 , when he prospected for dinosaurs in South Dakota and visited sights in Texas and Oklahoma .","His final expedition to the West took place in 1894 , when he prospected for dinosaurs in South Dakota and visited sites in Texas and Oklahoma ."
"However , the presence of iron meteorites and achondritic meteorite classes without identified parent bodies indicates that there once were other differentiated planetesimals with igneous histories , which have since been broken by impacts .","However , the presence of iron meteorites and achondritic meteorite classes without identified parent bodies indicates that there once were other differentiated planetesimals with igneous histories , which have since been shattered by impacts ."
"Along with the other soon to be space explorers , he was tested by experiments made to test his physical and psychological score ; he also underwent training for the upcoming flight .",Gagarin and other prospective candidates were subjected to experiments designed to test physical and psychological endurance ; he also underwent training for the upcoming flight .
The Oscillation Project with Emulsion-tRacking Apparatus ( OPERA ) is a scientific experiment for detecting tau neutrinos from muon neutrino oscillations .,The Oscillation Project with Emulsion-tRacking Apparatus ( OPERA ) is an instrument used in a scientific experiment for detecting tau neutrinos from muon neutrino oscillations .
There are 70-100 species of frog divided between 12 genera .,it encompasses 180 species of frogs divided between 9 genera .
The first conference was hosted in Copenhagen in 2000 .,The inaugural conference was held in Copenhagen 2000 .
"The Galileo spacecraft made investigations of the moon , and revealed that Callisto may have a small silicate core and possibly a subsurface ocean of liquid water more than 100 kilometers deep .",Investigation by the `` Galileo '' spacecraft revealed that Callisto may have a small silicate core and possibly a subsurface ocean of liquid water at depths greater than .
"At the 4th Chess Olympiad , Prague 1931 , he faced a much stronger field .","At Prague 1931 , he faced a much stronger field ."
"He was the 8th President of Ball State University , from 1978 to 1979 .",He retired from the university in 1985 .
Leahy graduated from Saint Michael 's College in 1961 and received his J.D .,He graduated from Saint Michael 's College in 1961 and received his J.D .
After Hercules came to an end he played the starring role of Captain Dylan Hunt in the science-fiction drama series `` Andromeda '' from 2000 to 2005 .,"After `` Hercules '' came to an end , Sorbo played the starring role of Captain Dylan Hunt in the science-fiction drama series `` Andromeda '' from 2000 to 2005 ."
SCA is a major employer in the locality .,SCA is the biggest employer in the locality .
In three billion years the Sun is expected to be 33 % more luminous .,"Likewise , in three billion years the Sun is expected to be 33 % more luminous ."
Caesium ( or cesium ) is the chemical element with the atomic number 55 on the periodic table .,Caesium or cesium is a chemical element with symbol Cs and atomic number 55 .
"The Bering Strait ( Russian : Берингов пролив ) is a sea strait between Cape Dezhnev , Russia , the easternmost point ( 169°43 ' W ) of the Asian continent and Cape Prince of Wales , Alaska , the westernmost point ( 168°05 ' W ) of the North American continent , with latitude of about 65° 40 ' north , slightly south of the Arctic Circle .","The Bering Strait is about wide at its narrowest point , between Cape Dezhnev , Chukchi Peninsula , Russia , the easternmost point ( 169° 43 ' W ) of the Asian continent and Cape Prince of Wales , Alaska , United States , the westernmost point ( 168° 05 ' W ) of the North American continent ."
"`` Invasion of the Bane '' is the first episode of The Sarah Jane Adventures , which is a British science fiction television series about a woman called Sarah Jane Smith ( Elisabeth Sladen ) .",`` Invasion of the Bane '' is the first episode of the British science fiction television series `` The Sarah Jane Adventures '' .
"In 2011 , NTU became the first university in Asia to receive the maximum five stars under the QS Stars rating system .","In 2011 , NTU became the first university in Asia to receive the maximum five stars under the QS Stars evaluation system ."
It is an oxidizing agent in an acidic condition .,It is as an oxidizing agent in organic synthesis .
"Pictures of Amalthea were taken in 1979 and 1980 by the `` Voyager 1 and 2 '' spacecraft , and later , in more detail , by the `` Galileo '' orbiter in the 1990s .","Amalthea was photographed in 1979 by the `` Voyager 1 and 2 '' spacecraft , and later , in more detail , by the `` Galileo '' orbiter in the 1990s ."
On `` Climbing plants '' ( Darwin 1867 ) Müller sent a letter to Darwin listing 40 genera of climbing plants classified by their method of climbing .,On `` Climbing plants '' ( 1867 ) Müller lent a letter to Darwin listing 40 genera of climbing plants classified by their method of climbing .
He became a full Professor in 1996 and was awarded the title Honored Inventor of the Russian Federation in 2000 .,He became a full professor in 1996 and was awarded the title Honored Inventor of the Russian Federation in 2000 .
"Conversely , a point source at the focus of a parabolic mirror will produce a beam of collimated light .","Conversely , a point source at the focus of a parabolic mirror will produce a beam of collimated light creating a Collimator ."
"`` Sporosarcina ureae '' is one of the bacteria which can make use of urea , it has the enzyme urease .",`` Sporosarcina ureae '' is one of the bacteria that can make use of urea with the enzyme urease .
"In 1939 , Ishkhanyan entered the department of Armenian language and literature of Yerevan State University .",He was a professor of the Yerevan State University .
"Ernest Giles and his team reached the ranges shortly after , and set up a base here from which to explore the Gibson and Great Victoria Deserts .","Ernest Giles and his team reached the ranges shortly after , and established a base from which to explore the Gibson and Great Victoria Deserts ."
"Under polarized light microscopy , the crystals have a needle-like shape and strong negative birefringence .","Under polarized light microscopy , they have a needle-like morphology and strong negative birefringence ."
These supply the strong magnetic fields perpendicular to the beam which are needed to convert the high-energy electron energy into light or some other form of electronmagnetic radiation .,These supply the strong magnetic fields perpendicular to the beam which are needed to convert high energy electrons into photons .
"For example , each man claimed that they had discovered a species of `` Chamaecyparis pisifera '' ( a kind of cypress ) .","For example , both men claimed discovery of a species of `` Chamaecyparis pisifera '' ."
"It is the second largest rodent in the world , and the largest found in North America .",They are the second-largest rodent in the world ( after the capybara ) .
The first GMOs were bacteria in 1973 ; GM mice were made in 1974 .,The first GMOs were bacteria generated in 1973 and GM mice in 1974 .
`` Huayangosaurus '' remains from twelve individual animals were recovered from the Dashanpu Quarry near Zigong in Sichuan .,"In 1979 and 1980 , remains from twelve stegosaurian individual animals were recovered from the Dashanpu Quarry near Zigong in Sichuan ."
"Neptune 's second known moon ( by order of distance ) , the odd moon Nereid , has one of the most unusual orbits of any satellite in the solar system .","Neptune 's second known satellite ( by order of discovery ) , the irregular moon Nereid , has one of the most eccentric orbits of any satellite in the Solar System ."
"Karl Friedrich Gauss also studied hyperbolic geometry , describing in a 1824 letter to Taurinus that he had constructed it , but did not publish his work .","Gauss wrote in an 1824 letter to Franz Taurinus that he had constructed it , but Gauss did not publish his work ."
The production of a summary description of nature in the form of such laws is a fundamental aim of science .,The production of a summary description of our environment in the form of such laws is a fundamental aim of science .
"However , in general , the rate of evolution in the Precambrian was very slow , with many cyanobacterial species lasting unchanged for billions of years .","However , in general , the appearance of fossils in the Precambrian was very slow , with many cyanobacterial species making up much of the underlying sediment ."
"Then , in 2000 , a seemingly new moon was found by Scott S. Sheppard , David C. Jewitt , Yanga R. Fernández and Eugene A. Magnier , and was designated .","Then , in 2000 , a seemingly new satellite was discovered by Scott S. Sheppard , David C. Jewitt , Yanga R. Fernández and Eugene A. Magnier , and was designated ."
Sinope was the farthest known moon of Jupiter until the discovery of Megaclite in 2000 .,Sinope was the outermost known moon of Jupiter until the discovery of Megaclite in 2000 .
"During the 1877 opposition , Italian astronomer Giovanni Schiaparelli used a telescope to help produce the first detailed map of Mars .","In that year , Italian astronomer Giovanni Schiaparelli used a telescope in Milan to help produce the first detailed map of Mars ."
"During the drying cycle , the garments are tumbled in a stream of warm air ( 60-63°C/140-145°F ) that circulates through the basket , evaporating any traces of solvent left after the spin cycle .","During the drying cycle , the garments are tumbled in a stream of warm air ( 60–63 °C/140–145 °F ) that circulates through the basket , evaporating traces of solvent left after the spin cycle ."
"Mycorrhizal plants are often more resistant to diseases , such as those caused by microbial soil-borne pathogens , and are also more resistant to the effects of drought .","Mycorrhizal plants are often more resistant to diseases , such as those caused by microbial soil-borne pathogens ."
"Its sharp teeth were all of the same shape , and it had a pair of enlarged canines , suggesting that it was a carnivore .","While its sharp teeth were all of the same shape , it did possess a pair of enlarged canines , suggesting that it was a carnivore ."
"Banting won the 1923 Nobel Prize in Physiology or Medicine , along with John Macleod , for the discovery of insulin .",They were awarded the Nobel Prize in Physiology or Medicine in 1923 for the discovery of insulin .
"As it moved west , dry air and wind shear disrupted its development until it crossed the dateline on December 6 .","As Paka moved westward , dry air and wind shear disrupted its development until it crossed the dateline on December 6 ."
"Graffin obtained his Ph.D. at Cornell University and has lectured courses in life sciences and paleontology at the University of California , Los Angeles .","Graffin obtained his PhD at Cornell University and has lectured courses in life sciences and paleontology at the University of California , Los Angeles and evolution at Cornell University ."
"In 1777 , Antoine Lavosier convinced the scientific community that sulfur was an element .","In 1777 , Antoine Lavoisier helped convince the scientific community that sulfur was an element , not a compound ."
It was launched about two years after Mariner 9 and was the last spacecraft in the Mariner program .,Mariner 10 was launched approximately two years after Mariner 9 and was the last spacecraft in the Mariner program .
She is noted for her work on ephemerides and is currently head of the Laboratory of Ephemeris Astronomy at the Institute of Applied Astronomy .,At present she is head of the Laboratory of Ephemeris Astronomy of this institute .
The increased critilization at low temperatures partly explains why the joints in the feet are most commonly affected .,The increased precipitation at low temperatures partly explains why the joints in the feet are most commonly affected .
In 1752 he got the Magister ( Master ) degree from the university in Wittenberg .,In 1752 he took his master 's degree in Wittenberg .
"However , the Cascades Volcano Observatory of the United States Geological Survey says that there was no large ash plume , so it could not have been an eruption .","However , the Cascades Volcano Observatory of the USGS did not mention any significant ash plume ."
"The site was created by Ben Silbermann , Paul Sciarra , and Evan Sharp .","The site was founded by Ben Silbermann , Paul Sciarra and Evan Sharp ."
Slender salamander is a common name given to lungless salamanders of the genus Batrachoseps .,Slender salamander is the name often given to Plethodontid ( lungless ) salamanders of the genus Batrachoseps .
"Instead , the embryos absorb nutrients from a yolk sac , and after the sac is depleted , the mother provides uterine 'milk ' .","Instead , the embryos absorb nutrients from a yolk sac , and after the sac is depleted , the mother provides uterine `` milk '' ."
Nobel Prizes were awarded only to living recipients at the time .,Nobel Prizes are awarded only to living recipients .
It was released on November 1999 in Finland and elsewhere in 2000 .,It was released in October 2015 .
"Unlike other types of fossils which are typically impressions or compressions , petrified wood is a three dimensional representation of the original organic material .","Unlike other types of fossils which are typically impressions or compressions , petrified wood is a three-dimensional representation of the original organic material ."
The locality is located circa 15 kilometers southeast from Östersund .,It is situated some 15 km south-east of Östersund .
"His many achievements include work on planetary orbits , measuring the mean density of the Earth , a method of solution of two-dimensional problems in solid mechanics and , in his role as Astronomer Royal , establishing Greenwich at the location of the prime meridian .","His many achievements include work on planetary orbits , measuring the mean density of the Earth , a method of solution of two-dimensional problems in solid mechanics and , in his role as Astronomer Royal , establishing Greenwich as the location of the prime meridian ."
"This meeting was held from June 16 to June 23 , 1894 , at the Sorbonne University in Paris .","This meeting was held from 16 to 23 June 1894 , at the University of Paris ."
"The Nodosauridae is a family of ankylosaur dinosaurs , from Upper Jurassic to Upper Cretaceous strata of what are now North America , Asia , Antarctica and Europe .","Nodosauridae is a family of ankylosaurian dinosaurs , from the Late Jurassic to the Late Cretaceous Period of what are now North America , Europe , Asia , and Antarctica ."
"After being produced in the nucleolus , ribosomes are exported to the cytoplasm where they translate mRNA into proteins .","After being produced in the nucleolus , ribosomes are exported to the cytoplasm where they translate mRNA ."
"If `` a '' and `` d '' are natural numbers , with `` d '' non-zero , it can be proved that there exist unique integers `` q '' and `` r '' , such that `` a '' = `` qd '' + `` r '' and 0 ≤ `` r '' < `` d '' .","If `` a '' and `` d '' are integers , with `` d '' non-zero , it can be proven that there exist unique integers `` q '' and `` r '' , such that `` a '' = `` qd '' + '' r '' and 0 ≤ '' r '' < '' |d| '' ."
"In early 2010 , a group of scientists led by Zhang Fucheng examined fossils with preserved melanosomes ( organelles which contain colour pigments ) .","In early 2010 , a group of scientists led by Zhang Fucheng examined fossils with preserved melanosomes ( organelles which contain colors ) ."
"The following table lists chemicals that had previously been classified as vitamins , as well as the earlier names of vitamins that later became part of the B-complex .","The table `` nomenclature of reclassified vitamins '' lists chemicals that had previously been classified as vitamins , as well as the earlier names of vitamins that later became part of the B-complex ."
It simply means that it is possible `` in principle '' for light or other signals from the object to reach an observer on Earth .,It simply indicates that it is possible `` in principle '' for light or other signals from the object to reach an observer on Earth .
