The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
The next match was between Akebono and The Big Show in a Sumo Match .,The next match was between Akebono and Big Show in a Sumo match .
"In 1973 , he was named as an original member of the United States Hockey Hall of Fame which is located in his hometown of Eveleth .",Karakas is one of the original members of the United States Hockey Hall of Fame .
"He finished the season with 106 runs scored , a batting average of .335 , and 25 stolen bases .","He finished the year with 99 runs scored , a .328 batting average , and 12 stolen bases ."
He was drafted with the 52nd overall pick by the Dallas Stars in the 1997 NHL Entry Draft .,He signed with the Stars in July 1999 .
The single car team was unsuccessful in its first year .,"The single car team was unsuccessful in its first year , scoring no points ."
"At the start , Berger took off better than Senna but Senna just stayed ahead with Berger second , Prost third , Mansell fourth with Patrese fifth and Piquet sixth .","After Belgium came Italy and Senna took pole again with Prost second , Berger third , Mansell fourth , Alesi fifth and Boutsen sixth ."
"The city is famous for its golf course , the Augusta National Golf Club which is home to the first major golf tournament of each year , The Masters .","The city’s famous golf course , the Augusta National Golf Club , hosts the first major golf tournament of each year , The Masters ."
"The team plays its home games in Santa Clara , California at Levi 's Stadium , as the teams head office and practice areas are located there .","The team currently plays its home games in Santa Clara , California at Levi 's Stadium ."
Below is the list of Wikipedia articles about baseball players who have played for the `` Pittsburgh Pirates '' team .,"This is a list of players who , at one point , played for the Pittsburgh Pirates ."
Winners of the quarter-finals will play semi-finals and the winning semi-finalists will play in the final .,The winners of the semi-finals played against each other in the final .
"The Maple Leafs have won the Stanley Cup championship 13 times , more than any team except the Montreal Canadiens .",The Leafs won no more Cups that decade .
The Achaean League took control of Sparta in 192 BC .,The Achaean League annexed Sparta in 192 BC .
"Etuini Haloti Ngata ( born January 21 , 1984 in Inglewood , California ) is an American Football and defensive tackle for the Baltimore Ravens of the National Football League ( NFL ) .","Etuini Haloti Ngata ( ; born January 21 , 1984 ) is an American football defensive tackle for the Detroit Lions of the National Football League ( NFL ) ."
"As a result , WWE contacted her modeling agency and invited her to their developmental territory , Ohio Valley Wrestling ( OVW ) , for a try-out .","As a result , WWE contacted her modeling agency and invited her to their then-developmental territory , Ohio Valley Wrestling ( OVW ) , for a tryout ."
"Lance Edward Armstrong ( born September 18 , 1971 in Plano , Texas , USA ) is an American former bicycle rider .","Lance Edward Armstrong ( born September 18 , 1971 ) is an American former professional road racing cyclist ."
"Another reporter from Helium.com , Nicki Marks said : As for the video and picture quality , Gord Lacey from TVShowsOnDVD.com said that `` the colors are bright , and the picture is nearly flawless . ''","As for the video and picture quality , Gord Lacey from TVShowsOnDVD.com claims `` the colors are bright , and the picture is nearly flawless . ''"
"The strongest part of their defense was their secondary , led by All-AFL safeties Johnny Robinson and Bobby Hunt , who each recorded 10 interceptions , and defensive back Fred Williamson , who recorded 4 .","The strongest part of their defense , though , was their secondary , led by All-AFL safeties Johnny Robinson and Bobby Hunt , who each recorded 10 interceptions , and defensive back Fred Williamson , who recorded four ."
"November to Remember 1996 took place on November 16 , 1996 at the ECW Arena in Philadelphia , Pennsylvania .","November to Remember 1998 took place on November 1 , 1998 from the Lakefront Arena in New Orleans , Louisiana ."
The main match for the `` Raw '' brand saw Edge defeat John Cena and successfully defend his WWE Championship .,The main event was between Edge and John Cena for the WWE Championship .
"Orlando Jordan ( born April 21 , 1974 ) is an American professional wrestler who is currently working in the independent circuit .","Orlando Mason Jordan ( born April 21 , 1974 ) is an American retired professional wrestler ."
"On February 7 , 1984 , he earned the WWF Junior Heavyweight Championship when he won a tournament in New Japan Pro Wrestling ; even though it was a WWF Title , it was mostly defended in Japan .","On 7 February 1984 , Billington captured the WWF Junior Heavyweight Championship by winning a tournament in New Japan Pro Wrestling ; although it was a WWF Title , it was primarily defended in Japan ."
"San Jose State University sports teams have won in the NCAA in track and field , cross country running , golf , and boxing .","San José State University sports teams have won NCAA national titles in track and field , golf , boxing , fencing and tennis ."
"Australia , Germany , and Japan returned , after having missed the 1948 Winter Olympics .","Australia , Germany , and Japan returned after a 16-year absence ."
"The main event was a tag team match , which saw the team of Batista and John Cena defeat the team of King Booker and Finlay .","The main event was a tag team match , in which the team of Batista and John Cena defeated the team of King Booker and Finlay ."
"In 1976 , the Nets were one of four ABA teams that joined the NBA , and returned to New Jersey a year later , becoming the New Jersey Nets .",The team then moved back to New Jersey in 1977 and became the New Jersey Nets .
"Brayden McNabb ( born January 28 , 1991 ) is a Canadian ice hockey defenceman .","Brayden Luke McNabb ( born January 28 , 1991 ) is a Canadian ice hockey player ."
"Children learn signs for words , questions , phrases , movements , colors , sports , days of the week , everyday objects , and activities that are done a lot .","The series teaches signs for common words , questions , phrases , movements , colors , sports , days of the week , everyday objects , and common activities ."
"9th Diamonds v Silver Ferns , Palmerston North","26th Diamonds v Silver Ferns , Adelaide"
"It was released for the Nintendo GameCube , Xbox , Playstation 2 and Game Boy Advance .","It was released for PlayStation 2 , Xbox and GameCube ."
A chop block is a move where a wrestler does a shoulder block and targets the back of the opponent 's knee .,The chop block is a shoulder block that targets the back of an opponent 's knee .
"Bangkok , Thailand , is home to a number of stadiums and sport clubs :",Bangkok is home to a number of stadiums and sport clubs :
The Oilers won two AFL championships before joining the NFL as part of the AFL-NFL Merger .,"The Oilers won the first two AFL Championships , and joined the NFL as part of the AFL–NFL merger in 1970 ."
"After 2006 FIFA World Cup , he retired from the national team .","In the 2002 FIFA World Cup , the team reached the final ."
"Robert Malone ( born February 4 , 1988 in Orange , California ) is an American football punter for the New York Jets of the National Football League ( NFL ) .","Robert James Malone ( born February 4 , 1988 ) is an American football punter who is currently a free agent ."
"However , on April 20 , it was announced that Benoist had to pull out of the bout due to an injury and was replaced by UFC newcomer Michel Prazeres .","However , on April 1 , it was revealed that Dollaway had to withdraw from the bout due to injury and he was replaced by Chris Camozzi ."
The Panthers won for the first time in the season against the Jacksonville Jaguars 16–10 .,The Panthers recorded their first victory of the season against the Jacksonville Jaguars 16–10 .
"He finished first in the 50 meter butterfly race , the 4 x 50 meter medley relay and the 4 x 50 meter freestyle relay race .",He finished second in the 50 meter freestyle race .
The 2003 event was belonged to the SmackDown !,The 2002 event featured the Raw and SmackDown !
"Today , the stadium has an unbalanced look , with one large stand and three smaller stands .","The stadium has an unbalanced look about it , with one large stand contrasting with three smaller stands ."
"Before signing with WWE , she spent many years on the independent circuit , particularly in the Frontier Wrestling Alliance , where she used the ring name Nikita .","Prior to signing with WWE , she spent many years on the independent circuit , particularly in the Frontier Wrestling Alliance , where she used the ring name Nikita ."
"Bedford Blues are now in the second tier of English rugby , although they have previously been in the top division .","Bedford Blues are currently in the second tier of English rugby , but have previously been in the top division ."
Luc Robitaille • Mario Lemieux • Teemu Selanne,Luc Robitaille • Mario Lemieux • Joe Mullen
He became coach of the Argentina men 's national team before his contract expired with the Iranian national team on 1 March 2014 .,He became coach Argentina men 's national team before his contract expires with Iranian national team on 1 March 2014 .
"During his playing career he played for Cowdenbeath F.C. , Heart of Midlothian and won 16 caps for the Scotland national team .",During his playing career he played for Cowdenbeath and Heart of Midlothian .
"Rogers later said in a Dallas radio interview that Cecil Newton said it would take `` anywhere between $ 100,000 and $ 180,000 '' to get his son to transfer to MSU .","Rogers said in a Dallas radio interview that Cecil Newton said it would take `` anywhere between $ 100,000 and $ 180,000 '' to get his son to transfer to Mississippi State ."
"Nowadays , Bengt Hassis is a cross-country skiing instructor in Grönklitt .",Bengt Hassis is now a cross-country skiing instructor in Grönklitt .
Yuki Hamano ( born 23 June 1978 ) is a Japanese football player .,Yuki Hamano ( born 23 June 1978 ) is a retired Japanese football player .
"The 2024 Summer Olympics , which will be officially known as the Games of the XXXIII Olympiad , is an international athletic event that will be organized by the International Olympic Committee .","The 2024 Summer Olympics , officially known as the Games of the XXXIII Olympiad , are a forthcoming international multi-sport event ."
"Sri Lanka went on to win their maiden championship by defeating Australia by seven wickets in the final , which was held in Lahore .","Sri Lanka went on to claim their inaugural championship by defeating the favourites Australia in the final by seven wickets , held in Lahore ."
"Darko Miličić ( born June 20 , 1985 in Novi Sad , Serbia , Yugoslavia ) is an Serbian basketball player that currently plays for the Minnesota Timberwolves of the NBA .","Darko Miličić ( , ; born June 20 , 1985 ) is a Serbian former professional basketball player ."
"There was just two entries in the Quad doubles , and they played a straight final to decided the championship .","There were just two entries in the quad doubles , and they played a straight final to decide the championship ."
The statistics listed include the 2006–07 NHL season and the 2006–07 NHL playoffs Active skaters ( as of September 2007 ) are listed in boldface .,The statistics listed include the 2014–15 NHL regular season and 2015 playoffs .
"Stan Mikita is the team leader in assists ( 926 ) and points ( 1467 ) , and Bobby Hull is the leader in goals ( 604 ) .","Stan Mikita is the franchise leader in assists ( 926 ) and points ( 1467 ) , and Bobby Hull is the leader in goals ( 604 ) ."
"On the 6 April episode of `` Smackdown '' , Sheamus was defeated by Alberto Del Rio via disqualification , thus earning Del Rio a future title match .","On the 24 December episode of `` Raw '' , Sheamus defeated Show in a non-title lumberjack match ."
"On December 4 , 2014 , Alfredsson decided to sign a one day contract to officially retire as a member of the Ottawa Senators .","Mid-season , Alfredsson signed a five-year contract extension with the Ottawa Senators ."
"It was held on July 17 , 2011 at the Allstate Arena in Rosemont , Illinois .","It took place on July 17 , 2011 , at the Allstate Arena in Rosemont , Illinois ."
Sean Pierson was expected to face Rick Story at the event .,Mitch Gagnon was expected to face Issei Tamura at the event .
The first match of the night had Jack Swagger fight Matt Hardy for the ECW Championship .,The predominant match on the ECW brand was between Jack Swagger and Matt Hardy for the ECW Championship .
`` Pallapugno leggera '' is played in courtfield which has same size of volleyball 's courtfield without net ( device ) .,"Pallapugno leggera is played in a court the same size of a volleyball court , but without a net ."
"While their opponent is falling , the wrestler lifts a knee up and striks the opponent in the face .","While the opponent is falling , the wrestler quickly lifts a knee up , striking the opponent in the face ."
He finished second in the 4 x 50 meter freestyle relay race .,He finished fifth in the 50 meter butterfly race .
A maximum of nine players are allowed to play in fielding positions at one time .,A maximum of nine players are allowed to field at one time .
"Impulsora del Deportivo Necaxa S.A. de C.V. ( ) ; often simply known as Club Necaxa , is a Mexican football club from Aguascalientes , Aguascalientes .","Impulsora del Deportivo Necaxa S.A. de C.V. ( ) ; often simply known as Club Necaxa , is a Mexican football club based in the city of Aguascalientes ."
"More than a decade later in 1949–50 , a Scottish Cup quarter-final tie against East Fife drew a record crowd of 12,500 – the highest ever at Ochilview Park..","More than a decade later in 1949–50 , a Scottish Cup quarter-final tie against East Fife drew a record crowd of 12,500 – the highest ever at Ochilview Park ."
"A head coach , senior coach or manager is a person who trains and develops men and women who play sports .","A head coach , senior coach , or manager is a professional at training and developing athletes ."
"The list of games released , or due for release , in 2013 in North America .",The list of games released in 2013 in North America .
A boomerang is a flying tool that is best known for its ability to return to the thrower .,A returning boomerang is designed to return to the thrower .
Águila almost won the match with a moonsault crossbody into a pin but stayed on the offensive with a frankensteiner .,Águila almost won the match with a moonsault crossbody into a pin but remained on the offensive with a frankensteiner .
The award is given annually to the player who is voted to show the most amount of sportsmanship and gentlemanly conduct while still maintaining a high level of play .,The trophy is given annually to the player who is voted to show the most sportsmanship and gentlemanly conduct while maintaining a high level of play .
Jardine is best known for captaining the English team during the 1932–33 Ashes tour of Australia .,"A right-handed batsman , he is best known for captaining the English team during the 1932–33 Ashes tour of Australia ."
"On the January 16 episode of `` SmackDown '' , it was announced that Swagger would defend the ECW title against Hardy in a match at the Royal Rumble .","On the January 16 episode of `` Friday Night SmackDown '' , WWE announced that Swagger would defend the ECW title against Hardy in a rematch at the Royal Rumble ."
"German athletes from the East and West Germany took part in the games in 1956 , 1960 and 1964 as the United Team of Germany .","German athletes from the two remaining states competed at the Olympic Games in 1956 , 1960 and 1964 as the United Team of Germany ."
"Following the events of the WWE Brand Extension , an annual WWE Draft was established , in which select members of the WWE roster are reassigned to a different brand .","Each year , the General Managers would participate in a draft lottery in which select members of the WWE roster were assigned to a brand ."
He remained with Rapax for the 2010 season .,He remained with Rapax for the 2010 GP2 Series season .
"The United States Championship is currently held by Kalisto , who is in his second reign .","The current champion is Roman Reigns , who is in his third reign ."
"John William `` Johnny '' Bach ( July 10 , 1924 – January 18 , 2016 ) was an American former professional basketball player and coach .","John William `` Johnny '' Bach ( July 10 , 1924 – January 18 , 2016 ) was an American professional basketball player and coach ."
"Sobotka 's first goal as a member of the Blues came on November 6 , 2010 against his former team , the Boston Bruins , beating Tuukka Rask after the puck was turned over in the Bruins ' zone .","On 6 November 2010 , Sobotka recorded his first goal for the Blues against his former club , the Boston Bruins , beating Tuukka Rask after a turnover in the Bruins ' zone ."
The Russian Olympic Committee was formed in 1991 and recognized in 1993 .,The Russian Olympic Committee was created in 1991 and recognized in 1993 .
South Uist ( Scottish Gaelic : `` Uibhist-a-Deas '' ) is an island of the Outer Hebrides in Scotland .,South Uist ( ) is an island of the Outer Hebrides in Scotland .
"He also hit 16 World Series home runs , and held the record for most home runs in Yankee Stadium for many years .",He also hit 26 home runs and recorded 136 runs batted in .
He was the younger brother of Manchester United legend Jack Rowley .,He was the younger brother of Manchester United footballer Jack Rowley .
He was added to the Pro Football Hall of Fame in 1977 .,He was inducted into the Pro Football Hall of Fame in 1977 .
"This was the second time that any Chinese city had hosted the Games , after Beijing in 1990 .","Guangzhou was the second Chinese city to host the Games , after Beijing in 1990 ."
"In the end , Dynamite delivered his trademark tombstone piledriver on Great Sasuke which lead to Dos Caras powerbombing Sasuke for the pin fall .","In the end , Dynamite delivered his trademark tombstone piledriver on Great Sasuke , leading Dos Caras to powerbomb Sasuke for the pin ."
"He has been given money from the 'Castilla-La Mancha Olímpica ' program , which gets money from the Foundation for Culture and Sports of Castilla-La Mancha .","In 2005 , Martínez earned a scholarship for athletics from the Foundation for Culture and Sports of Castilla-La Mancha ."
"Edward Wayne LeBaron , Jr. ( January 7 , 1930 – April 1 , 2015 ) was an American football quarterback in the 1950s and early 1960s in the National Football League .","Edward Wayne LeBaron , Jr. ( January 7 , 1930 – April 1 , 2015 ) was an American football quarterback in the 1950s and early 1960s in the National Football League for the Washington Redskins and the Dallas Cowboys ."
Costa Rica has been in several Winter Olympic Games since 1980 .,Costa Rica has also participated in several Winter Olympic Games since 1980 .
Luc Robitaille • Mario Lemieux • Hakan Loob,Luc Robitaille • Mario Lemieux • Mark Recchi
The country also hosts many football clubs that compete in the national or international leagues .,The country also hosts many football clubs .
"He won the Emms Family Award for the OHL rookie of the year on April 27 , 2007 and was also a runner-up for the Red Tilson Trophy as league MVP behind John Tavares .",He was also named runner-up to John Tavares for the Red Tilson Trophy as league MVP .
Ryder is a one time WWE Tag Team champion with Curt Hawkins and has also won a Slammy Award for Most Annoying Catchphrase in 2010 .,Ryder won a 2010 Slammy Award for Most Annoying Catchphrase in December .
"When Punk returned to ROH , he wrestled ROH World Champion Samoa Joe for the championship in a three match series .","In ROH , Punk faced off against ROH World Champion Samoa Joe for the championship in a three match series ."
"He , however , started the season pretty slowly , and only scored two points in the first nine games .","However , he started the season relatively slowly , scoring just two points in his first nine games ."
Ramsey played college football at Ball State University .,He played college football at Ball State .
The Chiefs then joined the NFL as part of the AFL-NFL Merger .,The Chiefs joined the NFL in the 1970 AFL–NFL merger .
Shane told his father that ECW needed to be taken care of and pointed out that there were 10 ECW wrestlers under Heyman 's belt .,Shane told his father that ECW needed to be taken care of and pointed out that there were ten ECW wrestlers under Heyman 's belt .
Yasutaka Kobayashi ( born 15 June 1980 ) is a Japanese football player .,"Yasutaka Kobayashi ( 小林 康剛 , born 15 June 1980 ) is a former Japanese football player ."
Below is the list of Wikipedia articles about American football players who have played for the `` Los Angeles Rams '' of the National Football League .,This category is all NFL players who played for the Los Angeles Rams .
"Andrew 'Andy ' Roddick ( born August 30 , 1982 ) is an American professional tennis player .","Andrew Stephen `` Andy '' Roddick ( born August 30 , 1982 ) is an American former World No ."
"Founded by Cornish miners in 1901 , it is amongst the oldest Mexican football clubs in existence .","Founded by British miners in 1901 , it is one of the oldest football clubs in the Americas ."
"Although historically inaccurate , the legend of a Greek messenger running to Athens with news of the victory became the inspiration for this athletic event , introduced at the 1896 Athens Olympics , and originally run between Marathon and Athens .","Although thought to be historically inaccurate , the legend of the Greek messenger Pheidippides running to Athens with news of the victory became the inspiration for this athletic event , introduced at the 1896 Athens Olympics , and originally run between Marathon and Athens ."
Alexander Ovechkin • Evgeni Malkin • Jarome Iginla,Ilya Kovalchuk • Evgeni Malkin • James Neal
"Norman Robert `` Bud '' Poile ( February 10 , 1924 – January 4 , 2005 ) was a Canadian professional ice hockey player , coach , general manager , and league executive .","Norman Robert `` Bud '' Poile ( February 10 , 1924 – January 4 , 2005 ) was a professional ice hockey player , coach , general manager , and league executive ."
"The following year at the Spanish National Athletics Championship , he competed in the 400 , 800 , 1,500 , long jump and 4x100 meter events , where and came first in the 800 and 1500 meters .","Competing at the 2006 Spanish national championships , he earned gold in the 400 and 800 meters ."
"Tickets sold out in under two minutes , grossing $ 2.5 million for the event , making it the highest grossing one-day event at the Allstate Arena .","Tickets sold out in under two minutes , grossing US $ 2.5 million for the event , making it the highest grossing one-day event at the Allstate Arena ."
"During the postseason , he was able to win the Guy Lafleur Trophy for being the MVP of the QMJHL playoffs and the Stafford Smythe Memorial Trophy for being the MVP of the 2000 Memorial Cup after the Océanic won both the QMJHL playoff title and the CHL national championship .","In the post-season , Richards took home both the Guy Lafleur Trophy as MVP of the QMJHL playoffs , then the Stafford Smythe Memorial Trophy as MVP of the 2000 Memorial Cup , as the Océanic won both the QMJHL playoff title and the CHL national championship ."
"He won the Epsom Derby in record time , the King George VI and Queen Elizabeth Stakes and the Prix de l'Arc de Triomphe .","He won the Epsom Derby in record time , the King and Queen Elizabeth Stakes and the Prix de l'Arc de Triomphe ."
"A back kick or reverse side kick is a move where a wrestler that is facing their opponent , turns 180° so their back is facing the opponent , extends their leg backwards which exploits the turning momentum to hit the opponent in wither the chest or stomach with the sole of their foot .","The attacker then turns 180 degrees so that his back is now facing the opponent and extends a leg backwards , exploiting the turning momentum to strike the opponent in the chest or stomach with the sole of his foot ."
`` Teams that qualified for the playoffs are highlighted in bold '',`` Note : Only teams that qualified for the playoffs are listed here . ''
The Women 's National Basketball Association ( WNBA ) is an American professional basketball league for women .,The Women 's National Basketball Association ( WNBA ) is a professional basketball league in the United States .
"Seeing that Robinson was good at sports , his older brothers Mack ( himself a good athlete and silver medal winner at the 1936 Summer Olympics ) and Frank inspired Jackie to follow his interest in sports .","Recognizing his athletic talents , Robinson 's older brothers Mack ( himself an accomplished athlete and silver medalist at the 1936 Summer Olympics ) and Frank inspired Jackie to pursue his interest in sports ."
The club was started in 1902 and as of the 2015-16 season play in the Premier League .,The club was founded in 1902 .
Her racquets are made by Babolat .,Her racquets are provided by Babolat .
"It is best known as the home of the British Grand Prix , which it first hosted in 1948 and which has been held on the circuit every year since 1987 .","Silverstone is the current home of the British Grand Prix , which it first hosted in 1948 ."
The first legs were played on 13 February and 14 February 2008 .,The second legs were played on 21 February 2008 .
The men 's soccer team played in the Swedish third divisin during the seasons of 1934-1935 and 1935-1936..,The men 's soccer team played in the Swedish third division during the seasons of 1934-1935 and 1935-1936 .
"It was the 3rd edition of the tournament and took place at the Queensland Tennis Centre in Tennyson , Brisbane .",It was the 3rd edition of the tournament and took place at the Queensland Tennis Centre in Tennyson .
"Ultimate Fighting Championship ( UFC ) is a U.S.-based mixed martial arts ( MMA ) organization , currently seen as the largest MMA promotion in the world .",The Ultimate Fighting Championship ( UFC ) is an American mixed martial arts promotion company .
A total of 67 nations sent athletes to compete at the Melbourne games .,A total of 67 nations competed in Melbourne .
The San Jose Sharks earned a number 1 seed in the Western Conference with 113 points .,The Boston Bruins earned the sixth seed with 91 points .
Negotiations with Mikhail Botvinnik for a world title match were proceeding in 1946 when Alekhine died in Portugal .,"Negotiations with Botvinnik for a world title match were proceeding in 1946 when Alekhine died in Portugal , in unclear circumstances ."
"Mireia Riera Casanovas ( born March 14 , 1975 in Lloret de Mar , Barcelona ) is a swimmer from Spain .","Mireia Riera Casanovas ( born in Lloret de Mar , Barcelona ) is an S7 swimmer from Spain ."
The International Olympic Committee 's official abbreviation for Denmark is DEN .,The National Olympic Committee for Denmark was created in 1905 .
Manfred von Richthofen ( c. 1934 – 1 May 2014 ) was a German hockey player and coach .,Manfred von Richthofen ( 4 February 1934 – 1 May 2014 ) was a German hockey player and coach .
"During the season , Robinson tried for a possible major league interest .","During the season , Robinson pursued potential major-league interests ."
"He won the title by defeating Zack Ryder on the April 4 , 2016 , edition of `` Raw '' .",He won the title by defeating Triple H at WrestleMania 32 .
"Real Madrid were again victorious when Hampden Park hosted the final of the UEFA Champions League in 2002 , defeating Bayer Leverkusen , aided by Zinedine Zidane 's legendary `` wonder goal '' .","Real Madrid were again victorious when Hampden Park hosted the 2002 UEFA Champions League Final , defeating Bayer Leverkusen , with Zinedine Zidane scoring the winning goal with a left-foot volley ."
He has a disability : he is blind and is a B1 type sportperson .,He is completely blind and is a B1 type sportperson .
"The Canadian Junior Hockey League ( CJHL ) , an association of Canadian Junior A ice hockey leagues and teams , formed in November 1993 , emerging from the Canada West Association of Junior 'A ' Hockey .","The Canadian Junior Hockey League ( CJHL ) , an association of Canadian junior A ice hockey leagues and teams , formed in November 1993 , emerging from the Canada West Association of Junior 'A ' Hockey ."
There have been many disputes over what makes production and modified cars when used in motorsports .,There have been numerous disputes over what constituted production and modified cars when used in motorsports .
No team in any major professional North American sport has won four championships in a row since the Islanders .,No team in any major professional North American sport has won four consecutive championships since .
"At Survivor Series 2002 , Guerreros faced the tag team champions Edge and Rey Mysterio , and Angle and Benoit for the titles .","At Survivor Series , Los Guerreros faced the new champions Edge and Rey Mysterio and the team of Angle and Benoit for the title ."
Another linear LED display lining the entire arena was also added between the suite and mezzanine levels .,An additional linear LED display lining the entire arena was also installed between the suite and mezzanine levels .
"His 1983 book `` The Game '' was a commercial and critical success being nominated for a Governor General 's Award , the book was about the pressures of being a goalie in the NHL .","His book `` The Game '' ( 1983 ) was a commercial and critical success , being nominated for a Governor General 's Award ."
"It took place on March 31 , 1985 at Madison Square Garden in New York , New York .","It took place on March 31 , 1985 , at Madison Square Garden in New York City ."
"In 1984 , Brian Bellows was named temporary captain of the Minnesota North Stars when Craig Hartsburg was hurt , and is the youngest player to captain a team in NHL history .","When Gabriel Landeskog was named captain of the Colorado Avalanche , he became the youngest permanent captain in NHL history ."
There are competitions of Beach Run on non-compact sand in great distances ( 20 km over 24 hours ) .,"Also , there are world records of Beach Run on non-compact sand in great distances ."
In this event he won a silver medal at the 1972 Summer Olympics as well as a bronze and a gold medal at the world championships in 1971 and 1973 .,"In this event he won a silver medal at the 1972 Summer Olympics as well as a bronze and a gold medal at the world championships in 1971 and 1973 , respectively ."
Hardy challenged for the title on September 8 but lost to NWA World Heavyweight Champion Jeff Jarrett .,"Hardy challenged for the title on September 8 , losing to NWA World Heavyweight Champion Jeff Jarrett ."
The classic feud between the villainous WWF Chairman Vince McMahon ( who was re-imagined and re-branded from the color commentator into the evil company chairman character Mr. McMahon after the real-life Montreal Screwjob incident ) and fan favorite Steve Austin ( who had been released by Bischoff in the summer of 1995 for not being marketable ) caught the imaginations of fans .,The classic feud between the WWF Chairman Vince McMahon and fan favorite Steve Austin caught the interest of fans .
"Later during the night , Shane and Vince McMahon bumped into each other backstage .","During the night , Vince McMahon held a WWF meeting backstage ."
The weight of the sit-ski made it so no skiers could ski moguls or on steep slopes .,The weight of the ski prevented skiers from skiing moguls or steep slopes .
"During these `` boxing '' contests , they would lock arms and try to push each other over .","During these `` boxing '' contests , they lock arms and try to push each other over ."
"He played with the Boston Red Sox , New York Yankees , and the Boston Braves , and hit 714 home runs in his career .","Nevertheless , he ended the season with 54 home runs ."
"On October 6 , 1973 , Tyrrell 's other driver was killed in practice for the US Grand Prix at Watkins Glen .","Tragedy struck on 6 October 1973 , as Cevert was killed in practice for the US Grand Prix at Watkins Glen ."
He was the third racer to finish in the Road Trial LC2 race .,He was the first racer to finish in the Individual Pursuit track LC2 race .
"Anthony attended Pensacola State College in Pensacola , Florida and transferred to the University of Nevada , Las Vegas after two years .","After two years , he transferred to the University of Nevada , Las Vegas ( UNLV ) ."
"Between the 2007–08 and 2011–12 seasons , Wolfsberger AC united with SK St. Andrä to compete under the name WAC/St .","Between the 2007–08 and 2011–12 seasons , Wolfsberger AC entered a cooperation with `` SK St. Andrä '' , competing under the name `` WAC/St ."
